SMILES,SELFIES,COLUMN DENSITY,STD,anchor,distance,gpr_column,uncertainty
C=CC#CCC,[C][=C][C][#C][C][C],11.856059766016347,1.3748085822071876,CC#CC#CC#N,0.06301687,[11.85605977],[1.37480858]
N#CCc1cc2cccccc-2c1,[N][#C][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][#Branch1][=C][Ring1][#Branch2],12.033747568747678,1.468607124034037,CC#CC#CC#N,0.06311554,[12.03374757],[1.46860712]
CCC/C=C/CO,[C][C][C][/C][=C][/C][O],11.775777952697467,1.4310490296031002,CC#CC#CC#N,0.063155,[11.77577795],[1.43104903]
C/C=C\C=C/CC,[C][/C][=C][\C][=C][/C][C],11.679468410144853,1.4309723436838369,CC#CC#CC#N,0.06315908,[11.67946841],[1.43097234]
C/C=C\CC/C=C\C,[C][/C][=C][\C][C][/C][=C][\C],11.749632375724675,1.4490247028038679,CC#CC#CC#N,0.06321165,[11.74963238],[1.4490247]
C/C=C/C=O,[C][/C][=C][/C][=O],11.745739996306106,1.4120115313844197,CC#CC#CC#N,0.063554086,[11.74574],[1.41201153]
C=COC=C,[C][=C][O][C][=C],11.866901992192416,1.3770294534280256,CC#CC#CC#N,0.06360149,[11.86690199],[1.37702945]
O=c1ccc1=O,[O][=C][C][=C][C][Ring1][Ring2][=O],11.845622684002818,1.4141424226857804,CC#CC#CC#N,0.06385067,[11.84562268],[1.41414242]
C1=CCOCC1,[C][=C][C][O][C][C][Ring1][=Branch1],11.916267159778247,1.4243488902015833,CC#CC#CC#N,0.06460852,[11.91626716],[1.42434889]
[O-][N+]1=Cc2ccccc2CC1,[O-1][N+1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2],12.019729868321885,1.4551913092818434,CC#CC#CC#N,0.06479597,[12.01972987],[1.45519131]
N#CC=CC#N,[N][#C][C][=C][C][#N],11.927273949839632,1.360787544426836,CC#CC#CC#N,0.064869426,[11.92727395],[1.36078754]
